"","N.C.1","N.C.2","N.C.3","N.C.4","N.SP3.1","N.SP3.2","N.SP3.3","N.SP3.4","E.C.1","E.C.2","E.C.3","E.C.4","E.SP3.1","E.SP3.2","E.SP3.3","E.SP3.4"
"AF357399",1.41796412990795,1.39912538083878,0.748966669628931,0.606761175193766,1.31681202639073,1.44228570509316,1.55797859680986,1.86537594229487,0.761301522540479,0.860441554799273,0.96336068046468,0.485024414686483,1.46613554941796,1.55442942470675,2.4622867025702,1.72465420455073
"Snora31",4.81537036125155,4.6097302847873,3.84307458138164,4.49022538458117,5.03522680873264,5.0182867317479,5.45653493951948,4.93727042123946,3.93881611369912,4.08862374105709,4.1524457100318,4.1681903007673,4.91897274838303,4.91329820584539,5.27123928778438,5.26122198978378
"Mir1931",1.9948216982153,2.53580781932759,2.71149410693075,2.1490025472797,2.9814727577386,3.20055369201077,3.95180840539243,4.26969966767989,1.92377972057998,2.42882976037174,1.57340461913677,2.54554026775037,3.24988219000473,3.73236757925786,4.79445281062684,5.06741837421555
"Mir1938",9.34056869385491,9.14158216262547,7.62195769516038,9.16645272970115,9.84006186106984,9.18883408058279,9.83252644001505,9.58099279252395,7.7179677609922,7.97524007999439,9.65944812731705,8.61904776014966,9.42801443882136,10.1025356887258,10.1775246357048,9.77068165238831
"Mir1948",2.14218513922293,2.64000869701312,2.30652766058201,2.0278889440586,3.44763493493964,3.4262506979506,3.38961389488277,3.91293750536827,2.5576273405415,2.97132372246558,2.68479277276694,2.97043532814037,2.93290204396702,4.15052721265003,4.46880144495654,4.44452599589557
"Gm19412",5.00806549647319,4.4673608656453,4.38754973083686,4.97669848421931,6.80688735597715,6.047957300255,6.93915121434139,6.7459431476167,4.65514407575519,4.2819767535225,4.50615241761758,4.56713101105074,5.77660592357066,7.23235863669908,6.97476730795576,6.5164624854781
"Gm19463",4.11262386056001,3.75467682030514,3.52557401288538,3.48580987942318,4.3947987919068,5.01695621015777,4.98840378529517,5.15277844895537,3.115975517513,3.17616208216038,2.80398473577337,3.51656854409264,4.18447734949983,4.37495484308204,4.17208294426597,4.38227249090754
"Gm14636",3.37408309938047,3.26733073874189,2.79692185104872,2.89344534418055,6.24165909321611,5.83921874441976,6.50230150768754,7.15696026672708,3.02163229167621,2.88792238902009,3.02282303851389,2.89825321498506,5.49620997602756,7.18893163709547,7.47753108541171,7.4725499822277
"4833438C02Rik",5.2101669944635,4.87529793237261,4.84462650915888,4.92573718480321,6.16860266390543,5.93170599016356,6.2784925691526,6.52750104097716,4.44864276146919,4.5492189085742,4.99263171831142,4.84805797532473,5.70749637929981,6.28005599298634,6.84807054145838,7.00070074773285
"Gm14023",3.07490213559981,2.64981799794632,3.0173112184182,3.10521646282615,5.40430739510043,5.59604713628289,6.1035264221759,5.48665871036292,2.40122393864548,2.24767946608903,2.1905924471187,2.54730756426588,4.53386104289879,5.16337688736249,5.38775617996817,5.37325501414932
"Gm20236",2.12761350643509,2.57676190166266,2.15465636138966,2.28056823675348,3.98609442626341,3.81556587876863,5.04769936272743,5.19438000098666,2.34089262316095,2.66331681243227,2.09697482283464,2.91126759715833,3.86236716377304,4.89317860138324,5.23454622350274,5.13182195275996
