"","N.C.1","N.C.2","N.C.3","N.C.4","N.SP3.1","N.SP3.2","N.SP3.3","N.SP3.4","E.C.1","E.C.2","E.C.3","E.C.4","E.SP3.1","E.SP3.2","E.SP3.3","E.SP3.4"
"17533950",2.73302168489602,1.90808622839634,1.09278940271152,1.67865068555791,1.5883530901011,1.51996528933229,1.89813683547751,1.11805488353171,2.24295717644944,1.73749393363203,2.19745935539005,1.63284271673163,1.52943714800027,2.24638121077656,1.46030525402648,1.30792504345759
"17491417",1.93279740177399,1.75662848618428,1.97946412894217,2.31566351977801,2.05500898682127,1.86864493435091,2.03096857441351,2.31747016202772,2.35316810489426,2.43362667635386,1.75037199699666,2.2605263918881,2.02608401097315,2.34836187634484,2.36812276539158,2.42744925859095
"17232581",2.20923154987045,2.4784254488242,2.31650816119301,2.14246984265217,2.78093956457078,2.69097575206881,2.62339461672247,2.34713378998069,2.07658582866944,2.27635530300392,2.07033970478981,2.01216569812019,2.58579023239045,2.5063569185331,2.92032523861556,2.91375761872238
"17449820",2.56891125271081,2.02542915300525,1.64997929062929,1.53904525094225,1.82630685844984,2.61134953766556,2.3583777060585,2.03174012317414,1.32098271014822,1.47307086292334,1.88180394951077,1.3723237563189,2.00486936509684,1.96809309476473,1.78702111230888,2.39479612541669
"17275976",3.3477554471467,3.74862677840521,3.81927155341298,3.88714450741028,3.95445363184436,3.96639162623893,4.72689439439465,4.08662065356366,3.40454223636664,3.50493039735728,3.94325489779119,3.72750964735906,3.30415628235726,3.58456150451597,3.8210564524305,3.93472233575311
"17415294",4.50185684062853,4.46979786022162,5.24101974968796,4.98559734953602,5.01533929544425,5.18047136523027,5.50850235726952,5.63387262124239,4.96403777314971,5.03180013868881,5.53611643142581,5.02223449915827,5.00809895102943,5.77921641997513,5.59975228253054,5.68829488760823
"17240303",1.85502768377152,2.46234570434474,2.4861800422342,2.05693903618032,1.84211161234698,2.09577352157239,2.14857629195817,2.15225377744643,3.27962668439606,2.67674921164587,1.25150202828695,2.84697824712593,2.0165593975036,1.75609776223537,2.36045660731304,2.03132118045854
"17547719",5.92573971318994,6.03045432916792,6.95045837368333,6.42746946105611,6.20380757699199,5.93955800661305,6.60187404901208,6.93498287750856,6.9408748955156,6.62810280822901,6.8127064314273,6.80511974817396,6.6550170410809,6.57186807947554,7.57043648165328,7.3318518231759
"17231491",2.16652172814895,0.94899168353082,0.634235404497054,1.05012463961053,1.44222150051091,1.48620206908074,1.83025377066549,0.928815386048068,1.37983014770154,1.35709549660347,1.94006191329536,1.1754746909438,1.03127691281534,1.11179327282145,0.793765139935559,1.39157607971171
"17298823",2.94380694591337,3.38722967925884,3.25873294516164,3.18880423236984,3.46342156673906,3.23126383514401,3.15881786424079,2.85303547964834,3.97271672559742,3.78200703573642,2.75924630040946,4.01061528303561,3.67237842811844,3.41670982342313,2.73828304023635,3.12973081273814
